                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.36851,                   1.58,                0.90638,                 0.9117,                0.92192,                0.97463,                0.95916,                0.23368,                0.60076,                0.73901,             0.00033134,             0.00033134,             0.00033134
                      2,                0.28944,                0.62044,                 0.8514,                0.93476,                0.95332,                0.97702,                0.96479,                0.19963,                0.38365,                0.74623,             0.00064822,             0.00064822,             0.00064822
                      3,                0.28307,                0.55529,                0.84829,                 0.9398,                0.95622,                0.98191,                0.96289,                0.22513,                 0.4016,                 0.7476,              0.0009486,              0.0009486,              0.0009486
                      4,                0.26695,                0.49458,                0.84283,                0.95728,                0.95684,                0.97596,                0.96201,                0.21802,                0.35164,                0.75571,             0.00092575,             0.00092575,             0.00092575
                      5,                0.25048,                0.45101,                0.83773,                0.95945,                0.95983,                 0.9798,                0.96933,                0.18466,                0.30165,                0.75426,               0.000901,               0.000901,               0.000901
                      6,                0.24557,                 0.4205,                0.83757,                0.95165,                0.95572,                0.98182,                0.96985,                0.19998,                0.31112,                 0.7636,             0.00087625,             0.00087625,             0.00087625
                      7,                 0.2421,                0.40765,                0.83623,                0.96652,                0.94684,                0.98087,                0.97078,                0.17624,                0.27564,                0.75407,              0.0008515,              0.0008515,              0.0008515
                      8,                 0.2306,                0.37513,                0.83331,                0.93395,                0.96508,                0.98117,                0.97162,                0.17992,                0.28431,                0.76614,             0.00082675,             0.00082675,             0.00082675
                      9,                0.23318,                0.36255,                0.83637,                0.96142,                 0.9577,                 0.9841,                0.97485,                 0.1736,                 0.2549,                0.75279,               0.000802,               0.000802,               0.000802
                     10,                0.22804,                0.35105,                0.83807,                0.95163,                0.95424,                0.98303,                0.97424,                0.17216,                0.26082,                 0.7673,             0.00077725,             0.00077725,             0.00077725
                     11,                0.22584,                0.33997,                0.83499,                0.96338,                0.95741,                0.98201,                0.97291,                0.16862,                0.24496,                0.77524,              0.0007525,              0.0007525,              0.0007525
                     12,                0.21994,                0.33119,                0.83472,                0.97013,                0.95815,                0.98523,                0.97634,                0.17442,                0.23612,                0.77431,             0.00072775,             0.00072775,             0.00072775
                     13,                0.21861,                0.31701,                0.83221,                0.95885,                0.96355,                0.98339,                0.97624,                0.16103,                0.22818,                0.77303,               0.000703,               0.000703,               0.000703
                     14,                0.21057,                 0.3134,                0.83243,                0.96722,                0.96107,                0.98561,                0.97778,                0.15442,                0.21256,                0.76832,             0.00067825,             0.00067825,             0.00067825
                     15,                0.21076,                0.30359,                0.83113,                0.96462,                0.95665,                0.98574,                 0.9772,                0.16862,                0.21421,                0.77509,              0.0006535,              0.0006535,              0.0006535
                     16,                0.20894,                0.29873,                0.83085,                0.96094,                0.96365,                0.98494,                0.97685,                0.14918,                0.21203,                0.75858,             0.00062875,             0.00062875,             0.00062875
                     17,                0.20586,                0.29798,                0.82936,                0.95769,                0.95997,                0.98407,                0.97609,                0.15449,                0.21324,                0.77186,               0.000604,               0.000604,               0.000604
                     18,                0.20453,                0.29231,                0.82987,                0.95853,                0.96646,                0.98396,                0.97689,                0.14976,                0.20067,                0.77059,             0.00057925,             0.00057925,             0.00057925
                     19,                0.20276,                0.27975,                0.82874,                0.96517,                0.96305,                0.98595,                0.97905,                0.14471,                0.19188,                0.76812,              0.0005545,              0.0005545,              0.0005545
                     20,                0.19615,                0.28221,                0.82599,                 0.9595,                0.96537,                0.98554,                0.97874,                0.14724,                0.20919,                0.76222,             0.00052975,             0.00052975,             0.00052975
                     21,                0.19698,                0.27542,                0.82815,                0.96532,                  0.958,                0.98653,                0.98013,                0.14711,                0.19172,                0.76891,               0.000505,               0.000505,               0.000505
                     22,                0.19416,                0.27688,                0.82539,                0.95989,                0.96792,                0.98572,                0.97922,                0.14538,                0.19299,                0.76857,             0.00048025,             0.00048025,             0.00048025
                     23,                0.19311,                0.27106,                0.82746,                0.96842,                0.95949,                 0.9872,                0.98068,                 0.1455,                0.18633,                0.76921,              0.0004555,              0.0004555,              0.0004555
                     24,                0.19125,                0.26692,                0.82559,                0.96332,                0.96363,                0.98626,                0.97994,                0.14384,                0.19322,                0.76954,             0.00043075,             0.00043075,             0.00043075
                     25,                0.18994,                0.26287,                 0.8245,                 0.9706,                0.95723,                0.98707,                0.98054,                0.13567,                 0.1825,                 0.7669,               0.000406,               0.000406,               0.000406
                     26,                0.18619,                0.25968,                0.82344,                0.96966,                0.96326,                0.98761,                0.98127,                0.14292,                0.18211,                0.76743,             0.00038125,             0.00038125,             0.00038125
                     27,                0.18635,                0.26012,                0.82561,                0.96294,                0.97061,                0.98734,                0.98114,                0.13997,                0.18415,                0.76733,              0.0003565,              0.0003565,              0.0003565
                     28,                0.18374,                0.25108,                0.82543,                0.96274,                0.96146,                0.98669,                 0.9806,                 0.1336,                0.18244,                0.76755,             0.00033175,             0.00033175,             0.00033175
                     29,                0.17991,                0.24779,                0.82228,                0.96614,                0.96173,                0.98791,                0.98134,                0.13873,                0.17658,                0.76782,               0.000307,               0.000307,               0.000307
                     30,                0.17873,                0.24267,                0.82507,                0.97087,                0.95566,                0.98758,                0.98139,                0.13344,                0.17742,                0.76695,             0.00028225,             0.00028225,             0.00028225
                     31,                0.15579,                0.19895,                0.79722,                0.97452,                0.95174,                0.98771,                0.98094,                0.14118,                0.18717,                0.76727,              0.0002575,              0.0002575,              0.0002575
                     32,                0.15078,                0.18985,                0.79447,                0.96601,                0.96077,                0.98773,                0.98156,                0.13454,                0.18098,                0.76694,             0.00023275,             0.00023275,             0.00023275
                     33,                0.14848,                0.18151,                0.79239,                0.96058,                0.96518,                0.98805,                0.98216,                0.13331,                 0.1743,                0.76651,               0.000208,               0.000208,               0.000208
                     34,                0.14484,                0.18035,                0.79371,                 0.9612,                0.96615,                0.98813,                0.98262,                0.12951,                0.17111,                0.76581,             0.00018325,             0.00018325,             0.00018325
                     35,                0.14374,                0.17507,                0.79228,                0.96657,                0.96485,                0.98897,                0.98322,                0.12704,                0.16681,                0.76509,              0.0001585,              0.0001585,              0.0001585
                     36,                0.13995,                0.17275,                0.79424,                0.96411,                0.96429,                0.98837,                0.98286,                0.12627,                0.16911,                0.76525,             0.00013375,             0.00013375,             0.00013375
                     37,                 0.1371,                0.16821,                0.78776,                0.96786,                 0.9643,                0.98813,                0.98234,                0.12628,                0.16747,                0.76527,               0.000109,               0.000109,               0.000109
                     38,                0.13548,                0.16283,                0.78963,                 0.9659,                0.96315,                0.98819,                0.98293,                0.12385,                0.16158,                0.76501,              8.425e-05,              8.425e-05,              8.425e-05
                     39,                0.13257,                0.16003,                0.79205,                0.97035,                0.95987,                0.98832,                0.98298,                0.12155,                0.15925,                0.76462,               5.95e-05,               5.95e-05,               5.95e-05
                     40,                0.13026,                0.15541,                0.79181,                 0.9716,                0.96086,                 0.9882,                0.98298,                0.12088,                0.15806,                0.76442,              3.475e-05,              3.475e-05,              3.475e-05
