                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.3633,                 1.9492,                0.89771,                0.54063,                0.77275,                0.72535,                0.70194,                0.25327,                 1.4613,                0.70349,              0.0003285,              0.0003285,              0.0003285
                      2,                0.26334,                0.64069,                0.84143,                0.85367,                0.87658,                0.93823,                0.90755,                 0.2233,                0.79749,                0.71771,             0.00064546,             0.00064546,             0.00064546
                      3,                0.24647,                0.52886,                0.82832,                0.93439,                0.94331,                0.96623,                0.95498,                0.19943,                 0.3806,                0.72871,             0.00094591,             0.00094591,             0.00094591
                      4,                0.24721,                 0.4939,                0.82419,                0.94139,                0.94615,                0.96668,                 0.9549,                0.20806,                 0.3671,                0.71638,             0.00092575,             0.00092575,             0.00092575
                      5,                0.23502,                0.46975,                0.82564,                0.92227,                0.95015,                0.96373,                0.95523,                0.16874,                0.34016,                0.70986,               0.000901,               0.000901,               0.000901
                      6,                 0.2178,                0.43158,                0.82167,                0.92589,                0.92643,                0.95933,                0.95176,                0.16455,                0.34045,                0.70869,             0.00087625,             0.00087625,             0.00087625
                      7,                0.20445,                0.41593,                 0.8206,                0.92052,                0.95065,                0.96961,                0.96067,                0.15878,                0.32168,                0.72922,              0.0008515,              0.0008515,              0.0008515
                      8,                0.20615,                 0.4005,                0.81756,                0.95686,                 0.9322,                0.96349,                0.95779,                0.16586,                0.28488,                 0.7387,             0.00082675,             0.00082675,             0.00082675
                      9,                0.19963,                0.38834,                0.81607,                0.94459,                0.93916,                0.96625,                0.95644,                0.15372,                0.25969,                0.70523,               0.000802,               0.000802,               0.000802
                     10,                 0.1932,                0.36378,                0.81547,                0.92232,                0.94857,                 0.9645,                 0.9587,                 0.1394,                0.26132,                0.74149,             0.00077725,             0.00077725,             0.00077725
                     11,                0.19123,                0.37036,                0.81441,                0.91311,                0.94985,                 0.9628,                 0.9572,                0.14095,                 0.2962,                0.70707,              0.0007525,              0.0007525,              0.0007525
                     12,                 0.1922,                0.35615,                0.81225,                0.93002,                0.96231,                0.97377,                0.96722,                0.14654,                0.23313,                0.73752,             0.00072775,             0.00072775,             0.00072775
                     13,                0.18428,                0.33533,                0.81397,                0.92938,                0.95211,                0.97144,                 0.9644,                0.13879,                0.23427,                0.74024,               0.000703,               0.000703,               0.000703
                     14,                0.18329,                0.33855,                0.81583,                0.95312,                0.93423,                0.96771,                0.96291,                0.12798,                0.21563,                 0.7382,             0.00067825,             0.00067825,             0.00067825
                     15,                0.17809,                0.31666,                0.81005,                0.93705,                0.93026,                0.96579,                0.95929,                0.13879,                 0.2547,                 0.7264,              0.0006535,              0.0006535,              0.0006535
                     16,                 0.1764,                0.30827,                0.81221,                0.92944,                0.95644,                  0.965,                0.96031,                0.11927,                0.20889,                0.73422,             0.00062875,             0.00062875,             0.00062875
                     17,                0.17369,                0.30008,                 0.8126,                0.95279,                0.93166,                0.96404,                0.95678,                0.14103,                0.22862,                0.73695,               0.000604,               0.000604,               0.000604
                     18,                0.16891,                0.30526,                0.80822,                0.94439,                0.94092,                0.96666,                0.96175,                0.12388,                0.21473,                0.73095,             0.00057925,             0.00057925,             0.00057925
                     19,                0.16134,                0.29514,                0.80872,                0.95187,                0.92935,                0.96986,                0.96494,                0.11706,                0.20549,                0.73069,              0.0005545,              0.0005545,              0.0005545
                     20,                0.16282,                0.29054,                0.80941,                0.94563,                0.94438,                0.97279,                0.96962,                0.12329,                 0.2105,                0.72928,             0.00052975,             0.00052975,             0.00052975
                     21,                0.16429,                0.28132,                0.80931,                0.93384,                0.94647,                0.97119,                0.96564,                0.12795,                0.19359,                0.73587,               0.000505,               0.000505,               0.000505
                     22,                0.16173,                0.27739,                0.80808,                0.95306,                0.93406,                0.96986,                0.96624,                0.12138,                0.21301,                0.73489,             0.00048025,             0.00048025,             0.00048025
                     23,                0.16012,                0.27208,                0.80971,                0.94337,                0.94766,                0.97266,                0.96916,                0.11653,                0.19316,                0.73687,              0.0004555,              0.0004555,              0.0004555
